service;name;description;access_level;resource_type_name;resource_type_name_append_wildcard;resource_arn_format
a4b;deleteconferenceprovider;Deletes a conference provider.;Write;conferenceprovider;True;arn:${Partition}:a4b:${Region}:${Account}:conference-provider/${Resource_id}
a4b;deletecontact;Deletes a contact by the contact ARN.;Write;contact;True;arn:${Partition}:a4b:${Region}:${Account}:contact/${Resource_id}
a4b;deletedevice;Removes a device from Alexa For Business.;Write;device;True;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id}
a4b;deleteprofile;Delete profile by profile ARN.;Write;profile;True;arn:${Partition}:a4b:${Region}:${Account}:profile/${Resource_id}
a4b;deleteroom;Delete room.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;deleteroomskillparameter;Delete a parameter from a skill and room.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;deleteskillauthorization;Unlinks a third-party account from a skill.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;deleteskillgroup;Deletes skill group with skill group ARN. Skillgroup ARN must be specified.;Write;skillgroup;True;arn:${Partition}:a4b:${Region}:${Account}:skill-group/${Resource_id}
a4b;deleteuser;Delete a user.;Write;user;True;arn:${Partition}:a4b:${Region}:${Account}:user/${Resource_id}
a4b;disassociatecontactfromaddressbook;Disassociates a contact from a given address book.;Write;addressbook;True;arn:${Partition}:a4b:${Region}:${Account}:address-book/${Resource_id}
a4b;disassociatecontactfromaddressbook;Disassociates a contact from a given address book.;Write;contact;True;arn:${Partition}:a4b:${Region}:${Account}:contact/${Resource_id}
a4b;disassociatedevicefromroom;Disassociates device from its current room.;Write;device;True;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id}
a4b;disassociateskillfromskillgroup;Disassociates a skill from a skill group.;Write;skillgroup;True;arn:${Partition}:a4b:${Region}:${Account}:skill-group/${Resource_id}
a4b;disassociateskillfromusers;Makes a private skill unavailable for enrolled users and prevents them from enabling  it on their devices.;Write;user;True;arn:${Partition}:a4b:${Region}:${Account}:user/${Resource_id}
a4b;disassociateskillgroupfromroom;Disassociates the skill group from given room. SkillGroup ARN and Room ARN must be  specified.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;disassociateskillgroupfromroom;Disassociates the skill group from given room. SkillGroup ARN and Room ARN must be  specified.;Write;skillgroup;True;arn:${Partition}:a4b:${Region}:${Account}:skill-group/${Resource_id}
a4b;forgetsmarthomeappliances;Forgets smart home appliances associated to a room.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;getaddressbook;Gets the address book details by the address book ARN.;Read;addressbook;True;arn:${Partition}:a4b:${Region}:${Account}:address-book/${Resource_id}
a4b;getconferencepreference;Retrieves the existing conference preferences.;Read;None;False;*
a4b;getconferenceprovider;Gets details about a specific conference provider.;Read;conferenceprovider;True;arn:${Partition}:a4b:${Region}:${Account}:conference-provider/${Resource_id}
a4b;getcontact;Gets the contact details by the contact ARN.;Read;contact;True;arn:${Partition}:a4b:${Region}:${Account}:contact/${Resource_id}
a4b;getdevice;Get device details.;Read;device;True;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id}
a4b;getnetworkprofile;Gets the network profile details by the network profile ARN.;Read;networkprofile;True;arn:${Partition}:a4b:${Region}:${Account}:network-profile/${Resource_id}
a4b;getprofile;Gets profile when provided with Profile ARN.;Read;profile;True;arn:${Partition}:a4b:${Region}:${Account}:profile/${Resource_id}
a4b;getroom;Get room details.;Read;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;getroomskillparameter;Get an existing parameter that has been set for a skill and room.;Read;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;getskillgroup;Gets skill group details with skill group ARN. Skillgroup ARN must be specified.;Read;skillgroup;True;arn:${Partition}:a4b:${Region}:${Account}:skill-group/${Resource_id}
a4b;listbusinessreportschedules;Lists the details of the schedules that a user configured.;List;None;False;*
a4b;listconferenceproviders;Lists conference providers under a specific AWS account.;List;None;False;*
a4b;listdeviceevents;Lists the device event history, including device connection status, for up to 30 days.;List;device;True;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id}
a4b;listskills;Lists skills.;List;None;False;*
a4b;listskillsstorecategories;Lists all categories in the Alexa skill store.;List;None;False;*
a4b;listskillsstoreskillsbycategory;Lists all skills in the Alexa skill store by category.;List;None;False;*
a4b;listsmarthomeappliances;Lists all of the smart home appliances associated with a room.;List;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;listtags;Lists all tags on a resource.;Read;device;False;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id}
a4b;listtags;Lists all tags on a resource.;Read;room;False;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;listtags;Lists all tags on a resource.;Read;user;False;arn:${Partition}:a4b:${Region}:${Account}:user/${Resource_id}
a4b;putconferencepreference;Sets the conference preferences on a specific conference provider at the account level.;Write;None;False;*
a4b;putdevicesetupevents;Publishes Alexa device setup events.;Write;None;False;*
a4b;putroomskillparameter;Put a room specific parameter for a skill.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;putskillauthorization;Links a user's account to a third-party skill provider. If this API operation is called  by an assumed IAM role, the skill being linked must be a private skill. Also, the  skill must be owned by the AWS account that assumed the IAM role.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;registeravsdevice;Registers an Alexa-enabled device built by an Original Equipment Manufacturer (OEM)  using Alexa Voice Service (AVS).;Write;None;False;*
a4b;registerdevice;Registers an Alexa device.;Write;None;False;*
a4b;rejectskill;Disassociates a skill from the organization under a user's AWS account. If the skill  is a private skill, it moves to an AcceptStatus of PENDING.;Write;None;False;*
a4b;resolveroom;Returns resolved room information.;Read;None;False;*
a4b;revokeinvitation;Revoke an invitation.;Write;user;True;arn:${Partition}:a4b:${Region}:${Account}:user/${Resource_id}
a4b;searchaddressbooks;Searches address books and lists the ones that meet a set of filter and sort criteria.;List;None;False;*
a4b;searchcontacts;Searches contacts and lists the ones that meet a set of filter and sort criteria.;List;None;False;*
a4b;searchdevices;Search for devices.;List;None;False;*
a4b;searchnetworkprofiles;Searches network profiles and lists the ones that meet a set of filter and sort criteria.;List;None;False;*
a4b;searchprofiles;Search for profiles.;List;None;False;*
a4b;searchrooms;Search for rooms.;List;None;False;*
a4b;searchskillgroups;Search for skill groups.;List;None;False;*
a4b;searchusers;Search for users.;List;None;False;*
a4b;sendinvitation;Send an invitation to a user.;Write;user;True;arn:${Partition}:a4b:${Region}:${Account}:user/${Resource_id}
a4b;startdevicesync;Restore the device and its account to its known, default settings by clearing all  information and settings set by its previous users.;Write;None;False;*
a4b;startsmarthomeappliancediscovery;Initiates the discovery of any smart home appliances associated with the room.;Read;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;tagresource;Adds metadata tags to a resource.;Tagging;device;False;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id}
a4b;tagresource;Adds metadata tags to a resource.;Tagging;room;False;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;tagresource;Adds metadata tags to a resource.;Tagging;user;False;arn:${Partition}:a4b:${Region}:${Account}:user/${Resource_id}
a4b;untagresource;Removes metadata tags from a resource.;Tagging;device;False;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id}
a4b;untagresource;Removes metadata tags from a resource.;Tagging;room;False;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;untagresource;Removes metadata tags from a resource.;Tagging;user;False;arn:${Partition}:a4b:${Region}:${Account}:user/${Resource_id}
a4b;updateaddressbook;Updates address book details by the address book ARN.;Write;addressbook;True;arn:${Partition}:a4b:${Region}:${Account}:address-book/${Resource_id}
a4b;updatebusinessreportschedule;Updates the configuration of the report delivery schedule with the specified schedule  ARN.;Write;schedule;True;arn:${Partition}:a4b:${Region}:${Account}:schedule/${Resource_id}
a4b;updateconferenceprovider;Updates an existing conference provider's settings.;Write;conferenceprovider;True;arn:${Partition}:a4b:${Region}:${Account}:conference-provider/${Resource_id}
a4b;updatecontact;Updates the contact details by the contact ARN.;Write;contact;True;arn:${Partition}:a4b:${Region}:${Account}:contact/${Resource_id}
a4b;updatedevice;Updates device name.;Write;device;True;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id}
a4b;updateprofile;Updates an existing profile.;Write;profile;True;arn:${Partition}:a4b:${Region}:${Account}:profile/${Resource_id}
a4b;updateroom;Update room details.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;updateskillgroup;Updates skill group details with skill group ARN. Skillgroup ARN must be specified.;Write;skillgroup;True;arn:${Partition}:a4b:${Region}:${Account}:skill-group/${Resource_id}
access-analyzer;createanalyzer;Grants permission to create an analyzer.;Write;Analyzer;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;createanalyzer;Grants permission to create an analyzer.;Write;None;False;*
access-analyzer;createarchiverule;Grants permission to create an archive rule for the specified analyzer.;Write;Analyzer;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;createarchiverule;Grants permission to create an archive rule for the specified analyzer.;Write;ArchiveRule;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}/archive-rule/${ruleName}
access-analyzer;deleteanalyzer;Grants permission to delete the specified analyzer.;Write;Analyzer;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;deleteanalyzer;Grants permission to delete the specified analyzer.;Write;None;False;*
access-analyzer;deletearchiverule;Grants permission to delete archive rules for the specified analyzer.;Write;Analyzer;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;deletearchiverule;Grants permission to delete archive rules for the specified analyzer.;Write;ArchiveRule;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}/archive-rule/${ruleName}
access-analyzer;getanalyzedresource;Grants permission to retrieve information about an analyzed resource.;Read;None;False;*
access-analyzer;getanalyzer;Grants permission to retrieve information about analyzers.;Read;Analyzer;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;getanalyzer;Grants permission to retrieve information about analyzers.;Read;None;False;*
access-analyzer;getarchiverule;Grants permission to retrieve information about archive rules for the specified analyzer.;Read;Analyzer;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;getarchiverule;Grants permission to retrieve information about archive rules for the specified analyzer.;Read;ArchiveRule;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}/archive-rule/${ruleName}
access-analyzer;getfinding;Grants permission to retrieve findings.;Read;None;False;*
access-analyzer;listanalyzedresources;Grants permission to retrieve a list of resources that have been analyzed.;List;None;False;*
access-analyzer;listanalyzers;Grants permission to retrieves a list of analyzers.;List;None;False;*
access-analyzer;listarchiverules;Grants permission to retrieve a list of archive rules from an analyzer.;List;Analyzer;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;listfindings;Grants permission to retrieve a list of findings from an analyzer.;List;None;False;*
access-analyzer;listtagsforresource;Grants permission to retrieve a list of tags applied to a resource.;List;Analyzer;False;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;startresourcescan;Grants permission to start a scan of the policies applied to a resource.;Write;None;False;*
access-analyzer;tagresource;Grants permission to add a tag to a resource.;Tagging;Analyzer;False;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;tagresource;Grants permission to add a tag to a resource.;Tagging;None;False;*
access-analyzer;untagresource;Grants permission to remove a tag from a resource.;Tagging;Analyzer;False;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;untagresource;Grants permission to remove a tag from a resource.;Tagging;None;False;*
access-analyzer;updatearchiverule;Grants permission to modify an archive rule.;Write;Analyzer;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}
access-analyzer;updatearchiverule;Grants permission to modify an archive rule.;Write;ArchiveRule;True;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}/archive-rule/${ruleName}
access-analyzer;updatefindings;Grants permission to modify findings.;Write;None;False;*
account;disableregion;Grants permission to disable a region;Write;None;False;*
account;enableregion;Grants permission to enable a region;Write;None;False;*
account;listregions;Grants permission to list regions;List;None;False;*
acm;addtagstocertificate;Adds one or more tags to a certificate.;Tagging;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm;addtagstocertificate;Adds one or more tags to a certificate.;Tagging;None;False;*
acm;deletecertificate;Deletes a certificate and its associated private key.;Write;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm;describecertificate;Returns a list of the fields contained in the specified certificate.;Read;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm;exportcertificate;Exports a private certificate issued by a private certificate authority (CA) for use  anywhere.;Read;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm;getcertificate;Retrieves a certificate and certificate chain for the certificate specified by an  ARN.;Read;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm;importcertificate;Imports a 3rd party SSL/TLS certificate into AWS Certificate Manager (ACM).;Write;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm;importcertificate;Imports a 3rd party SSL/TLS certificate into AWS Certificate Manager (ACM).;Write;None;False;*
acm;listcertificates;Retrieves a list of the certificate ARNs and the domain name for each ARN.;List;None;False;*
acm;listtagsforcertificate;Lists the tags that have been applied to the certificate.;Read;None;False;*
acm;removetagsfromcertificate;Remove one or more tags from a certificate. A tag consists of a key-value pair;Tagging;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm;removetagsfromcertificate;Remove one or more tags from a certificate. A tag consists of a key-value pair;Tagging;None;False;*
acm;renewcertificate;Renews an eligable private certificate.;Write;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm;requestcertificate;Requests a public or private certificate.;Write;None;False;*
acm;resendvalidationemail;Resends an email to request domain ownership validation.;Write;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm;updatecertificateoptions;Updates a certificate. Use to specify whether to opt in to or out of certificate transparency  logging.;Write;certificate;True;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId}
acm-pca;createcertificateauthority;Creates an ACM Private CA and its associated private key and configuration.;Write;None;False;*
acm-pca;createcertificateauthorityauditreport;Creates an audit report for an ACM Private CA.;Write;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;createpermission;Creates a permission for an ACM Private CA.;Permissions management;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;deletecertificateauthority;Deletes an ACM Private CA and its associated private key and configuration.;Write;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;deletepermission;Deletes a permission for an ACM Private CA.;Permissions management;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;describecertificateauthority;Returns a list of the configuration and status fields contained in the specified ACM  Private CA.;Read;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;describecertificateauthorityauditreport;Returns the status and information about an ACM Private CA audit report.;Read;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;getcertificate;Retrieves an ACM Private CA certificate and certificate chain for the certificate  authority specified by an ARN.;Read;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;getcertificateauthoritycertificate;Retrieves an ACM Private CA certificate and certificate chain for the certificate  authority specified by an ARN.;Read;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;getcertificateauthoritycsr;Retrieves an ACM Private CA certificate signing request (CSR) for the certificate-authority  specified by an ARN.;Read;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;importcertificateauthoritycertificate;Imports an SSL/TLS certificate into ACM Private CA for use as the CA certificate of  an ACM Private CA.;Write;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;issuecertificate;Issues an ACM Private CA certificate.;Write;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;issuecertificate;Issues an ACM Private CA certificate.;Write;None;False;*
acm-pca;listcertificateauthorities;Retrieves a list of the ACM Private CA certificate authority ARNs, and a summary of  the status of each CA in the calling account.;List;None;False;*
acm-pca;listpermissions;Lists the permissions that have been applied to the ACM Private CA certificate authority.;Read;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;listtags;Lists the tags that have been applied to the ACM Private CA certificate authority.;Read;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;restorecertificateauthority;Restores an ACM Private CA from the deleted state to the state it was in when deleted.;Write;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;revokecertificate;Revokes a certificate issued by an ACM Private CA.;Write;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;tagcertificateauthority;Adds one or more tags to an ACM Private CA.;Tagging;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;tagcertificateauthority;Adds one or more tags to an ACM Private CA.;Tagging;None;False;*
acm-pca;untagcertificateauthority;Remove one or more tags from an ACM Private CA.;Tagging;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
acm-pca;untagcertificateauthority;Remove one or more tags from an ACM Private CA.;Tagging;None;False;*
acm-pca;updatecertificateauthority;Updates the configuration of an ACM Private CA.;Write;certificate-authority;True;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId}
amplify;createapp;Creates a new Amplify App.;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;createapp;Creates a new Amplify App.;Write;None;False;*
amplify;createbackendenvironment;Creates a new backend environment for an Amplify App.;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;createbranch;Creates a new Branch for an Amplify App.;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;createbranch;Creates a new Branch for an Amplify App.;Write;None;False;*
amplify;createdeployment;Create a deployment for manual deploy apps. (Apps are not connected to repository);Write;branches;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}
amplify;createdomainassociation;Create a new DomainAssociation on an App;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;createdomainassociation;Create a new DomainAssociation on an App;Write;None;False;*
amplify;createwebhook;Create a new webhook on an App.;Write;branches;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}
amplify;deleteapp;Delete an existing Amplify App by appId.;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;deletebackendenvironment;Deletes a branch for an Amplify App.;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;deletebranch;Deletes a branch for an Amplify App.;Write;branches;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}
amplify;deletedomainassociation;Deletes a DomainAssociation.;Write;domains;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/domains/${DomainName}
amplify;deletejob;Delete a job, for an Amplify branch, part of Amplify App.;Write;jobs;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}/jobs/${JobId}
amplify;deletewebhook;Delete a webhook by id.;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;generateaccesslogs;Generate website access logs for a specific time range via a pre-signed URL.;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;getapp;Retrieves an existing Amplify App by appId.;Read;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;getartifacturl;Retrieves artifact info that corresponds to a artifactId.;Read;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;getbackendenvironment;Retrieves a backend environment for an Amplify App.;Read;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;getbranch;Retrieves a branch for an Amplify App.;Read;branches;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}
amplify;getdomainassociation;Retrieves domain info that corresponds to an appId and domainName.;Read;domains;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/domains/${DomainName}
amplify;getjob;Get a job for a branch, part of an Amplify App.;Read;jobs;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}/jobs/${JobId}
amplify;getwebhook;Retrieves webhook info that corresponds to a webhookId.;Read;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;listapps;Lists existing Amplify Apps.;List;None;False;*
amplify;listartifacts;List artifacts with an app, a branch, a job and an artifact type.;List;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;listbackendenvironments;Lists backend environments for an Amplify App.;List;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;listbranches;Lists branches for an Amplify App.;List;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;listdomainassociations;List domains with an app;List;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;listjobs;List Jobs for a branch, part of an Amplify App.;List;branches;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}
amplify;listwebhooks;List webhooks on an App.;List;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;startdeployment;Start a deployment for manual deploy apps. (Apps are not connected to repository);Write;branches;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}
amplify;startjob;Starts a new job for a branch, part of an Amplify App.;Write;jobs;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}/jobs/${JobId}
amplify;stopjob;Stop a job that is in progress, for an Amplify branch, part of Amplify App.;Write;jobs;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}/jobs/${JobId}
amplify;tagresource;This action tags an AWS Amplify Console resource.;Tagging;apps;False;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;tagresource;This action tags an AWS Amplify Console resource.;Tagging;branches;False;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}
amplify;tagresource;This action tags an AWS Amplify Console resource.;Tagging;jobs;False;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}/jobs/${JobId}
amplify;tagresource;This action tags an AWS Amplify Console resource.;Tagging;None;False;*
amplify;untagresource;This action removes a tag from an AWS Amplify Console resource.;Tagging;apps;False;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;untagresource;This action removes a tag from an AWS Amplify Console resource.;Tagging;branches;False;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}
amplify;untagresource;This action removes a tag from an AWS Amplify Console resource.;Tagging;jobs;False;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}/jobs/${JobId}
amplify;untagresource;This action removes a tag from an AWS Amplify Console resource.;Tagging;None;False;*
amplify;updateapp;Updates an existing Amplify App.;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
amplify;updatebranch;Updates a branch for an Amplify App.;Write;branches;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName}
amplify;updatedomainassociation;Update a DomainAssociation on an App.;Write;domains;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/domains/${DomainName}
amplify;updatewebhook;Update a webhook.;Write;apps;True;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}
apigateway;delete;Used to delete resources;Write;apigateway-general;True;arn:${Partition}:apigateway:${Region}::${ApiGatewayResourcePath}
apigateway;delete;Used to delete resources;Write;None;False;*
apigateway;get;Used to get information about resources;Read;apigateway-general;True;arn:${Partition}:apigateway:${Region}::${ApiGatewayResourcePath}
apigateway;patch;Used to update resources;Write;apigateway-general;True;arn:${Partition}:apigateway:${Region}::${ApiGatewayResourcePath}
