service;condition_key_name;condition_key_service;description;condition_value_type
autoscaling;autoscaling:LaunchConfigurationName;autoscaling;The name of a launch configuration.;string
autoscaling;autoscaling:LoadBalancerNames;autoscaling;The name of the load balancer.;string
autoscaling;autoscaling:MaxSize;autoscaling;The maximum scaling size.;numeric
autoscaling;autoscaling:MinSize;autoscaling;The minimum scaling size.;numeric
autoscaling;autoscaling:ResourceTag/${TagKey};autoscaling;The value of a tag attached to a resource.;string
autoscaling;autoscaling:SpotPrice;autoscaling;The spot price associated with an instance.;numeric
autoscaling;autoscaling:TargetGroupARNs;autoscaling;The ARN of a target group.;arn
autoscaling;autoscaling:VPCZoneIdentifiers;autoscaling;The identifier of a VPC zone.;string
autoscaling;aws:RequestTag/${TagKey};aws;The value of a tag associated with the request.;string
autoscaling;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource.;string
autoscaling;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
aws-marketplace;catalog:ChangeType;catalog;Enables you to verify change type in the StartChangeSet request.;string
backup;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
backup;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
batch;batch:Image;batch;The image used to start a container.;string
batch;batch:Privileged;batch;When this parameter is true, the container is given elevated privileges on the host  container instance (similar to the root user).;boolean
batch;batch:User;batch;The user name or numeric uid to use inside the container.;string
cloud9;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
cloud9;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
cloud9;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
cloud9;cloud9:EnvironmentId;cloud9;Filters access by the AWS Cloud9 environment ID;string
cloud9;cloud9:EnvironmentName;cloud9;Filters access by the AWS Cloud9 environment name;string
cloud9;cloud9:InstanceType;cloud9;Filters access by the instance type of the AWS Cloud9 environment's Amazon EC2 instance;string
cloud9;cloud9:Permissions;cloud9;Filters access by the type of AWS Cloud9 permissions;string
cloud9;cloud9:SubnetId;cloud9;Filters access by the subnet ID that the AWS Cloud9 environment will be created in;string
cloud9;cloud9:UserArn;cloud9;Filters access by the user ARN specified;arn
cloudformation;aws:RequestTag/${TagKey};aws;None;string
cloudformation;aws:ResourceTag/${TagKey};aws;None;string
cloudformation;aws:TagKeys;aws;None;string
cloudformation;cloudformation:ChangeSetName;cloudformation;An AWS CloudFormation change set name. Use to control which change sets IAM users  can execute or delete.;string
cloudformation;cloudformation:ResourceTypes;cloudformation;The template resource types, such as <code>AWS::EC2::Instance</code>. Use to control  which resource types IAM users can work with when they create or update a stack;string
cloudformation;cloudformation:RoleArn;cloudformation;The ARN of an IAM service role. Use to control which service role IAM users can use  to work with stacks or change sets.;arn
cloudformation;cloudformation:StackPolicyUrl;cloudformation;An Amazon S3 stack policy URL. Use to control which stack policies IAM users can associate  with a stack during a create or update stack action.;string
cloudformation;cloudformation:TemplateUrl;cloudformation;An Amazon S3 template URL. Use to control which templates IAM users can use when they  create or update stacks.;string
cloudfront;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
cloudfront;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
cloudfront;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
cloudhsm;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
cloudhsm;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
cloudhsm;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
cloudwatch;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
cloudwatch;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource;string
cloudwatch;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
cloudwatch;cloudwatch:namespace;cloudwatch;Filters actions based on the presence of optional namespace values;string
codebuild;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
codebuild;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
codebuild;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
codecommit;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
codecommit;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
codecommit;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
codecommit;codecommit:References;codecommit;Filters access by Git reference to specified AWS CodeCommit actions;string
codedeploy;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
codedeploy;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
codedeploy;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
codeguru-reviewer;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
codepipeline;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
codepipeline;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
codepipeline;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
codestar;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the tags.;string
codestar;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource.;string
codestar;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
codestar;iam:ResourceTag/${TagKey};iam;None;string
codestar-notifications;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
codestar-notifications;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
codestar-notifications;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
codestar-notifications;codestar-notifications:NotificationsForResource;codestar-notifications;Filters access based on the ARN of the resource for which notifications are configured;arn
cognito-identity;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request.;string
cognito-identity;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource.;string
cognito-identity;aws:TagKeys;aws;Filters access by a key that is present in the request.;string
cognito-idp;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request.;string
cognito-idp;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource.;string
cognito-idp;aws:TagKeys;aws;Filters access by a key that is present in the request.;string
comprehend;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the mandatory  tags.;string
comprehend;aws:ResourceTag/${TagKey};aws;Filters actions based on the tag value associated with the resource.;string
comprehend;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
config;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
config;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value assoicated with the resource;string
config;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
connect;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request.;string
connect;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource.;string
connect;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request.;string
dataexchange;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the mandatory  tags.;string
dataexchange;aws:ResourceTag/${TagKey};aws;Filters actions based on the tag value associated with the resource.;string
dataexchange;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
dataexchange;dataexchange:JobType;dataexchange;Indicates that the action can only be performed on the specified job type.;string
datapipeline;datapipeline:PipelineCreator;datapipeline;The IAM user that created the pipeline.;arn
datapipeline;datapipeline:Tag;datapipeline;A customer-specified key/value pair that can be attached to a resource.;arn
datapipeline;datapipeline:workerGroup;datapipeline;The name of a worker group for which a Task Runner retrieves work.;arn
datasync;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the tags.;string
datasync;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource.;string
datasync;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
dax;dax:EnclosingOperation;dax;Used to block Transactions APIs calls and allow the non-Transaction APIs calls and  vice-versa.;string
devicefarm;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
devicefarm;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value assoicated with the resource;string
devicefarm;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
directconnect;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
directconnect;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
directconnect;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
dlm;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
dlm;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
dlm;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
dms;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
dms;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
dms;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
dms;dms:cert-tag/${TagKey};dms;Filters actions based on the presence of tag keys in the request for Certificate;string
dms;dms:endpoint-tag/${TagKey};dms;Filters actions based on the presence of tag keys in the request for Endpoint;string
dms;dms:es-tag/${TagKey};dms;Filters actions based on the presence of tag keys in the request for EventSubscription;string
dms;dms:rep-tag/${TagKey};dms;Filters actions based on the presence of tag keys in the request for ReplicationInstance;string
dms;dms:req-tag/${TagKey};dms;Filters actions based on the presence of tag key-value pairs in the request;string
dms;dms:subgrp-tag/${TagKey};dms;Filters actions based on the presence of tag keys in the request for ReplicationSubnetGroup;string
dms;dms:task-tag/${TagKey};dms;Filters actions based on the presence of tag keys in the request for ReplicationTask;string
ds;aws:RequestTag/${TagKey};aws;None;string
ds;aws:ResourceTag/${TagKey};aws;None;string
ds;aws:TagKeys;aws;None;string
dynamodb;dynamodb:Attributes;dynamodb;Filter based on the attribute (field or column) names of the table.;string
dynamodb;dynamodb:EnclosingOperation;dynamodb;Used to block Transactions APIs calls and allow the non-Transaction APIs calls and  vice-versa.;string
dynamodb;dynamodb:LeadingKeys;dynamodb;Filters based on the partition key of the table.;string
dynamodb;dynamodb:ReturnConsumedCapacity;dynamodb;"Filter based on the ReturnConsumedCapacity parameter of a request. Contains either  ""TOTAL"" or ""NONE"".";string
dynamodb;dynamodb:ReturnValues;dynamodb;"Filter based on the ReturnValues parameter of request. Contains one of the following:  ""ALL_OLD"", ""UPDATED_OLD"",""ALL_NEW"",""UPDATED_NEW"", or ""NONE"".";string
dynamodb;dynamodb:Select;dynamodb;Filter based on the Select parameter of a Query or Scan request.;string
ebs;aws:ResourceTag/${TagKey};aws;Filters access based on tag key-value pairs assigned to the AWS resource;string
ec2;aws:RequestTag/${TagKey};aws;A key that is present in the request the user makes to the EC2 service.;string
ec2;aws:TagKeys;aws;The list of all the tag key names associated with the resource in the request.;string
ec2;ec2:AccepterVpc;ec2;The ARN of an accepter VPC in a VPC peering connection.;arn
ec2;ec2:AuthenticationType;ec2;The authentication type for the VPN tunnel endpoints.;string
ec2;ec2:AuthorizedService;ec2;The AWS service that has permission to use a resource.;string
ec2;ec2:AuthorizedUser;ec2;The IAM principal that has permission to use a resource.;string
ec2;ec2:AvailabilityZone;ec2;The name of an Availability Zone in a region.;string
ec2;ec2:CreateAction;ec2;The name of a resource-creating API action.;string
ec2;ec2:DPDTimeoutSeconds;ec2;The duration after which DPD timeout occur.;numeric
ec2;ec2:EbsOptimized;ec2;Whether the instance is enabled for EBS-optimization.;bool
ec2;ec2:ElasticGpuType;ec2;The name of the type of ElasticGpu.;string
ec2;ec2:Encrypted;ec2;Whether the volume is encrypted.;bool
ec2;ec2:GatewayType;ec2;The gateway type for the VPN endpoint on the AWS side of the VPN connection.;string
ec2;ec2:IKEVersions;ec2;The internet key exchange (IKE) versions that are permitted for the VPN tunnel.;string
ec2;ec2:ImageType;ec2;The name of the type of image.;string
ec2;ec2:InsideTunnelCidr;ec2;The range of inside IP addresses for the VPN tunnel.;string
ec2;ec2:InstanceMarketType;ec2;The name of the market type.;string
ec2;ec2:InstanceProfile;ec2;The ARN of the instance profile.;arn
ec2;ec2:InstanceType;ec2;The name of the instance type.;string
ec2;ec2:IsLaunchTemplateResource;ec2;Launch template resource flag.;bool
ec2;ec2:LaunchTemplate;ec2;The ARN of the launch template.;arn
ec2;ec2:MetadataHttpEndpoint;ec2;Whether the http endpoint is enabled in instance metadata service.;string
ec2;ec2:MetadataHttpPutResponseHopLimit;ec2;Allowed number of hops when calling instance metadata service.;numeric
ec2;ec2:MetadataHttpTokens;ec2;Whether tokens are required when calling instance metadata service.;string
ec2;ec2:Owner;ec2;The name or account ID of the owner.;string
ec2;ec2:ParentSnapshot;ec2;The ARN of the parent snapshot.;arn
ec2;ec2:ParentVolume;ec2;The ARN of the parent volume.;arn
ec2;ec2:Permission;ec2;The type of permission for a resource.;string
ec2;ec2:Phase1DHGroupNumbers;ec2;The Diffie-Hellman groups that are permitted for the VPN tunnel for the phase 1 IKE  negotiations.;numeric
ec2;ec2:Phase1EncryptionAlgorithms;ec2;The encryption algorithms that are permitted for the VPN tunnel for the phase 1 IKE  negotiations.;string
ec2;ec2:Phase1IntegrityAlgorithms;ec2;The integrity algorithms that are permitted for the VPN tunnel for the phase 1 IKE  negotiations.;string
ec2;ec2:Phase1LifetimeSeconds;ec2;The lifetime in seconds for phase 1 of the IKE negotiation.;numeric
ec2;ec2:Phase2DHGroupNumbers;ec2;The Diffie-Hellman groups that are permitted for the VPN tunnel for the phase 2 IKE  negotiations.;numeric
ec2;ec2:Phase2EncryptionAlgorithms;ec2;The encryption algorithms that are permitted for the VPN tunnel for the phase 2 IKE  negotiations.;string
ec2;ec2:Phase2IntegrityAlgorithms;ec2;The integrity algorithms that are permitted for the VPN tunnel for the phase 2 IKE  negotiations.;string
ec2;ec2:Phase2LifetimeSeconds;ec2;The lifetime in seconds for phase 2 of the IKE negotiation.;numeric
ec2;ec2:PlacementGroup;ec2;The ARN of the placement group.;arn
ec2;ec2:PlacementGroupStrategy;ec2;The name of the placement group strategy.;string
ec2;ec2:PresharedKeys;ec2;The pre-shared key (PSK) to establish the initial IKE security association between  the virtual private gateway and customer gateway.;string
ec2;ec2:ProductCode;ec2;The product code of the product.;string
ec2;ec2:Public;ec2;Whether the image is public.;bool
ec2;ec2:Region;ec2;The name of the region.;string
ec2;ec2:RekeyFuzzPercentage;ec2;The percentage of the rekey window (determined by the rekey margin time) within which  the rekey time is randomly selected.;numeric
ec2;ec2:RekeyMarginTimeSeconds;ec2;The margin time before the phase 2 lifetime expires, during which AWS performs an  IKE rekey.;numeric
ec2;ec2:RequesterVpc;ec2;The ARN of a requester VPC in a VPC peering connection.;arn
ec2;ec2:ReservedInstancesOfferingType;ec2;The payment option for a Reserved Instance.;string
ec2;ec2:ResourceTag/;ec2;The preface string for a tag key and value pair attached to a resource.;string
ec2;ec2:ResourceTag/${TagKey};ec2;A tag key and value pair.;string
ec2;ec2:RoleDelivery;ec2;The IMDS version of IAM role credential for EC2.;numeric
ec2;ec2:RootDeviceType;ec2;The root device type: ebs or instance-store.;string
ec2;ec2:RoutingType;ec2;The routing type for the VPN connection.;string
ec2;ec2:SnapshotTime;ec2;The snapshot creation time.;string
ec2;ec2:SourceInstanceARN;ec2;The ARN of the instance from which the request originated.;arn
ec2;ec2:Subnet;ec2;The ARN of the subnet.;arn
ec2;ec2:Tenancy;ec2;The tenancy of the instance or VPC.;string
ec2;ec2:VolumeIops;ec2;The number of input/output operations per second.;numeric
ec2;ec2:VolumeSize;ec2;The size of the volume, in GiB.;numeric
ec2;ec2:VolumeType;ec2;The name of the type of volume.;string
ec2;ec2:Vpc;ec2;The ARN of the VPC.;arn
ec2-instance-connect;ec2:osuser;ec2;Filters access by specifying the default user name for the AMI that you used to launch  your instance;string
ecr;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the tags.;string
ecr;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource.;string
ecr;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
ecr;ecr:ResourceTag/${TagKey};ecr;Filters actions based on tag-value associated with the resource.;string
ecs;aws:RequestTag/${TagKey};aws;None;string
ecs;aws:ResourceTag/${TagKey};aws;None;string
ecs;aws:TagKeys;aws;None;string
ecs;ecs:ResourceTag/${TagKey};ecs;None;string
ecs;ecs:cluster;ecs;The ARN of an ECS cluster.;arn
ecs;ecs:container-instances;ecs;The ARN of an ECS container instance.;arn
ecs;ecs:service;ecs;The ARN of an ECS service.;arn
ecs;ecs:task-definition;ecs;The ARN of an ECS task definition.;arn
eks;aws:RequestTag/${TagKey};aws;Filters access by a key that is present in the request the user makes to the EKS service.;string
eks;aws:ResourceTag/${TagKey};aws;Filters access by a tag key and value pair.;string
eks;aws:TagKeys;aws;Filters access by the list of all the tag key names present in the request the user  makes to the EKS service.;string
elasticbeanstalk;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request.;string
elasticbeanstalk;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource.;string
elasticbeanstalk;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request.;string
elasticbeanstalk;elasticbeanstalk:FromApplication;elasticbeanstalk;Filters access by an application as a dependency or a constraint on an input parameter.;arn
elasticbeanstalk;elasticbeanstalk:FromApplicationVersion;elasticbeanstalk;Filters access by an application version as a dependency or a constraint on an input  parameter.;arn
elasticbeanstalk;elasticbeanstalk:FromConfigurationTemplate;elasticbeanstalk;Filters access by a configuration template as a dependency or a constraint on an input  parameter.;arn
elasticbeanstalk;elasticbeanstalk:FromEnvironment;elasticbeanstalk;Filters access by an environment as a dependency or a constraint on an input parameter.;arn
elasticbeanstalk;elasticbeanstalk:FromPlatform;elasticbeanstalk;Filters access by a platform as a dependency or a constraint on an input parameter.;arn
elasticbeanstalk;elasticbeanstalk:FromSolutionStack;elasticbeanstalk;Filters access by a solution stack as a dependency or a constraint on an input parameter.;arn
elasticbeanstalk;elasticbeanstalk:InApplication;elasticbeanstalk;Filters access by the application that contains the resource that the action operates  on.;arn
elasticfilesystem;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
elasticfilesystem;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
elasticfilesystem;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
elasticfilesystem;elasticfilesystem:AccessPointArn;elasticfilesystem;The ARN of the access point used to mount the file system;string
elasticloadbalancing;aws:RequestTag/tag-key;aws;A key that is present in the request the user makes to the ELB service.;string
elasticloadbalancing;aws:TagKeys;aws;The list of all the tag key names associated with the resource in the request.;string
elasticloadbalancing;elasticloadbalancing:ResourceTag/;elasticloadbalancing;The preface string for a tag key and value pair attached to a resource.;string
elasticloadbalancing;elasticloadbalancing:ResourceTag/tag-key;elasticloadbalancing;A tag key and value pair.;string
elasticloadbalancing;aws:RequestTag/tag-key;aws;A key that is present in the request the user makes to the ELB service.;string
elasticloadbalancing;aws:TagKeys;aws;The list of all the tag key names associated with the resource in the request.;string
elasticloadbalancing;elasticloadbalancing:ResourceTag/tag-key;elasticloadbalancing;A tag key and value pair.;string
elasticmapreduce;aws:RequestTag/${TagKey};aws;Filters access based on whether the tag and value pair is provided with the action;string
elasticmapreduce;aws:ResourceTag/${TagKey};aws;Filters access based on the tag and value pair associated with an Amazon EMR resource;string
elasticmapreduce;aws:TagKeys;aws;Filters access based on whether the tag keys are provided with the action regardless  of tag value;string
elasticmapreduce;elasticmapreduce:RequestTag/${TagKey};elasticmapreduce;Filters actions based on whether the tag and value pair is provided with the action;string
elasticmapreduce;elasticmapreduce:ResourceTag/${TagKey};elasticmapreduce;Filters actions based on the tag and value pair associated with an Amazon EMR resource;string
events;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
events;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource;string
events;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
events;events:TargetArn;events;The ARN of a target that can be put to a rule.;arn
events;events:detail-type;events;Matches the literal string of the detail-type filed of the event.;string
events;events:detail.eventTypeCode;events;Matches the literal string for the detail.eventTypeCode field of the event.;string
events;events:detail.service;events;Matches the literal string for the detail.service field of the event.;string
events;events:detail.userIdentity.principalId;events;Matches the literal string for the detail.useridentity.principalid field of the event.;string
events;events:source;events;The AWS service or AWS partner event source that generated the event. Matches the  literal string of the source field of the event.;string
firehose;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the tags;string
firehose;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource.;string
firehose;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request;string
fms;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
fms;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value assoicated with the resource;string
fms;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
freertos;aws:RequestTag/${TagKey};aws;A tag key that is present in the request that the user makes to Amazon FreeRTOS.;string
freertos;aws:ResourceTag/${TagKey};aws;The tag key component of a tag attached to an Amazon FreeRTOS resource.;string
freertos;aws:TagKeys;aws;The list of all the tag key names associated with the resource in the request.;string
fsx;aws:RequestTag/${TagKey};aws;None;string
fsx;aws:ResourceTag/${TagKey};aws;None;string
fsx;aws:TagKeys;aws;None;string
gamelift;aws:RequestTag/${TagKey};aws;Filters actions based on the tags that are passed in the request;string
gamelift;aws:ResourceTag/${TagKey};aws;Filters actions based on the tags associated with the resource;string
gamelift;aws:TagKeys;aws;Filters actions based on the tag keys that are passed in the request;string
glacier;glacier:ArchiveAgeInDays;glacier;How long an archive has been stored in the vault, in days.;string
glacier;glacier:ResourceTag/;glacier;A customer-defined tag.;string
glue;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
glue;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
glue;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
greengrass;aws:CurrentTime;aws;Filters access by checking date/time conditions for the current date and time.;date
greengrass;aws:EpochTime;aws;Filters access by checking date/time conditions for the current date and time in epoch  or Unix time.;date
greengrass;aws:MultiFactorAuthAge;aws;Filters access by checking how long ago (in seconds) the security credentials validated  by multi-factor authentication (MFA) in the request were issued using MFA.;numeric
greengrass;aws:MultiFactorAuthPresent;aws;Filters access by checking whether multi-factor authentication (MFA) was used to validate  the temporary security credentials that made the current request.;boolean
greengrass;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the mandatory  tags.;string
greengrass;aws:ResourceTag/${TagKey};aws;Filters actions based on the tag value associated with the resource.;string
greengrass;aws:SecureTransport;aws;Filters access by checking whether the request was sent using SSL.;boolean
greengrass;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
greengrass;aws:UserAgent;aws;Filters access by the requester's client application.;string
groundstation;aws:RequestTag/${TagKey};aws;Filters access by a key that is present in the request the user makes to the Ground  Station service.;string
groundstation;aws:ResourceTag/${TagKey};aws;Filters access by a tag key and value pair.;string
groundstation;aws:TagKeys;aws;Filters access by the list of all the tag key names present in the request the user  makes to the Ground Station service.;string
groundstation;groundstation:configId;groundstation;Filters access by the ID of a config;string
groundstation;groundstation:configType;groundstation;Filters access by the type of a config;string
groundstation;groundstation:contactId;groundstation;Filters access by the ID of a contact;string
groundstation;groundstation:dataflowEndpointGroupId;groundstation;Filters access by the ID of a dataflow endpoint group;string
groundstation;groundstation:groundStationId;groundstation;Filters access by the ID of a ground station;string
groundstation;groundstation:missionProfileId;groundstation;Filters access by the ID of a mission profile;string
groundstation;groundstation:satelliteId;groundstation;Filters access by the ID of a satellite;string
guardduty;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
guardduty;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
guardduty;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
health;health:eventTypeCode;health;The type of event.;string
health;health:service;health;The service of the event.;string
iam;iam:AWSServiceName;iam;Filters access by the AWS service to which this role is attached;string
